id,topo,cage,aspect,scar,year,maxveg,avgveg,maxherb,ph,ec,c/n,r1,r2,seeds,cause of death
172,swale,none,no,s,1,12,12,4,,,,0,0,0,gone
173,swale,small,no,s,1,77,37.33333333,2,,,,0.039690657,0.017857143,0,dessicated
174,swale,small,no,s,1,30,20.66666667,2,,,,-0.140249672,0.071428571,0,gone
175,swale,small,no,s,1,30,20.66666667,0,,,,0.326957048,0.142857143,0,gone
176,swale,small,no,s,1,30,20.5,0,,,,0.00855523,0.071428571,0,dessicated
177,swale,small,no,s,1,30,21,0,,,,0,0,0,gone
178,swale,small,no,s,1,30,20.66666667,0,,,,-0.006135923,0,0,dessicated
179,swale,big,no,us,1,45,23.33333333,0,,,,0.007012484,0.071428571,0,gone
180,swale,big,no,s,1,45,23.33333333,0,,,,-0.014024967,0.071428571,0,dessicated
181,swale,big,no,s,1,80,53.66666667,5,,,,2.322562341,0.178217822,0,complete
182,swale,big,no,s,1,45,23.33333333,0,,,,0.007012484,0,0,gone
183,swale,big,no,s,1,77,46.71428571,0,,,,9.945519383,0.385714286,26,complete
184,swale,none,no,s,1,25,15,0,,,,0.007012484,0.142857143,0,gone
185,swale,big,no,s,1,76,57,0,,,,0.028049934,0.142857143,0,gone
186,swale,big,no,s,1,76,57,0,,,,-0.014024967,0.071428571,0,gone
187,swale,big,no,s,1,76,57,0,,,,0,0.071428571,0,gone
188,swale,big,no,s,1,50,47.5,0,,,,0,0,0,gone
189,steep,small,n,us,1,50,26.66666667,0,,,,0.049087385,0.071428571,0,gone
190,steep,small,n,us,1,50,26.66666667,0,,,,0.021037451,0.071428571,0,gone
191,steep,big,n,s,1,85,71.66666667,0,,,,0.308549278,0.142857143,0,dessicated
192,steep,big,n,s,1,85,62.33333333,0,,,,7.488491544,0.198019802,7,complete
193,steep,big,n,s,1,85,62.33333333,0,,,,21.1098774,0.425742574,40,complete
194,steep,big,n,s,1,85,62.33333333,0,,,,31.12543031,0.524752475,39,complete
195,steep,big,n,s,1,85,62.33333333,0,,,,4.853255196,0.217821782,9,complete
196,steep,big,n,s,1,85,71.66666667,0,,,,0.007012484,0.071428571,0,gone
197,steep,big,n,s,1,85,71.66666667,0,,,,0.049087385,0.071428571,0,gone
198,steep,big,n,s,1,85,72.75,0,,,,0.138258127,0.071428571,0,gone
199,steep,big,n,s,1,1,1,0,,,,0,0,0,gone
200,steep,big,n,us,1,1,1,0,,,,0.021037451,0.142857143,0,dessicated
201,steep,big,n,s,1,9,3.166666667,0,,,,0.075103699,0.071428571,0,Dessicated
202,steep,none,n,s,1,1,1,0,,,,0,0,0,gone
203,steep,small,n,s,1,95,92.66666667,0,,,,0.056099869,0,0,gone
204,steep,small,n,s,1,96,92.16666667,3,,,,0.029101807,0.017857143,0,dessicated
205,steep,small,n,s,1,95,94,0,,,,0,0,0,gone
206,steep,small,n,s,1,96,92.16666667,0,,,,0.250696289,0.071428571,0,dessicated
207,steep,small,n,s,1,96,91.85714286,0,,,,0.270973586,0.042857143,0,gone
208,steep,small,n,s,1,95,94,0,,,,0,0,0,gone
209,steep,small,n,s,1,96,92.16666667,0,,,,0.029803055,0.053571429,0,dessicated
210,road,big,no,s,2,4,4,0,,,,0.441786467,0.142857143,0,dessicated
211,steep,big,n,s,1,65,50,0,,,,0,0,0,gone
212,swale,small,no,us,2,99,83,0,,,,5.077038128,0.047619048,0,BURIED
213,swale,small,no,us,2,90,77.66666667,1,,,,0.028049934,0.142857143,0,gone
214,swale,big,no,us,2,82,35.14285714,2,,,,0.819731283,0.071428571,0,GONE
215,gentle,small,s,us,2,45,31.25,2,,,,0.101652962,0.119047619,0,dessicated
216,gentle,small,s,us,1,69,25.33333333,4,,,,-0.021037451,0,0,Washed out
217,gentle,none,s,s,1,47,38.5,0,,,,0,0,0,gone
218,gentle,big,s,s,1,34,29.5,0,,,,0,0,0,dessicated
219,gentle,big,s,s,1,34,29.5,0,,,,0,0,0,gone
220,gentle,none,s,s,1,29,16.83333333,0,,,,0.096772274,0.071428571,0,dessicated
221,gentle,big,s,s,1,6,5,0,,,,0,0,0,gone
222,gentle,big,s,s,1,17,9,0,,,,0.000617099,0.071428571,0,dessicated
223,gentle,big,s,s,1,6,5,0,,,,0,0,0,gone
224,gentle,big,s,s,1,6,5,1,,,,0,0,0,dessicated
225,gentle,big,s,s,1,6,5,0,,,,0,0,0,gone
226,gentle,big,s,s,1,6,5,0,,,,0,0,0,gone
227,gentle,big,s,s,1,6,5,0,,,,0,0,0,gone
228,gentle,big,s,s,1,6,5,0,,,,0,0,0,gone
229,gentle,big,s,us,1,6,5,0,,,,0,0,0,dessicated
230,steep,small,n,s,1,95,92.5,0,,,,0,0,0,gone
231,steep,small,n,s,1,96,94,0,,,,0.839160538,0.095238095,0,dessicated
232,road,none,no,s,2,22,11.5,3,,,,0.586439979,0.160714286,0,gone
233,steep,none,n,s,1,96,20.28571429,3,,,,0.090461038,0,0,gone
234,steep,big,n,s,1,80,65,0,,,,0,0,0,gone
235,steep,big,n,s,1,80,59.5,0,,,,822.8828706,0.195402299,13,complete
236,steep,big,n,s,1,80,65,0,,,,0,0,0,gone
237,steep,small,n,s,1,15,14,0,,,,0.032463124,0.023809524,0,dessicated
238,steep,small,n,s,1,27,17.28571429,0,,,,1.743834814,0.125,0,complete
239,steep,small,n,s,1,15,15,0,,,,0,0,0,gone
240,steep,small,n,s,1,27,17.875,0,,,,0.020537711,0.022988506,0,dessicated
241,steep,small,n,s,1,73,24,0,,,,0.378022449,0.04040404,3,dessicated
242,steep,big,n,s,1,42,19.9,3,,,,3.993606308,0.221238938,23,complete
243,steep,big,n,s,1,8,5,0,,,,0.469836401,0.142857143,0,GONE
244,steep,small,n,s,1,11,8.666666667,0,,,,0.013485006,0,0,GONE
245,steep,none,s,us,2,58,49,2,,,,0,0,0,dessicated
246,steep,none,s,s,1,35,30,0,,,,0,0,0,dessicated
247,steep,none,s,s,1,35,30,0,,,,0,0,0,dessicated
248,steep,big,s,s,1,48,45.5,0,,,,0,0,0,dessicated
249,steep,small,s,s,1,64,49.5,0,,,,0,0,0,GONE
250,swale,none,no,s,1,25,18.33333333,0,,,,0,0,0,dessicated
251,swale,none,no,s,1,84,44.83333333,3,,,,0.023842444,0.035714286,0,dessicated
252,swale,none,no,s,1,25,18.33333333,0,,,,0.042074902,0.071428571,0,dessicated
253,swale,small,no,s,1,85,50.75,0,,,,-0.009349978,0.023809524,0,GONE
254,swale,small,no,s,1,85,50.75,0,,,,0.028049934,0.071428571,0,dessicated
255,swale,small,no,s,1,85,50.75,0,,,,0.028049934,0.071428571,0,washed out
256,swale,small,no,s,1,85,50.75,0,,,,0.049087385,0.107142857,0,washed out
257,swale,big,no,s,1,50,24.66666667,0,,,,0.091597061,0.053571429,0,dessicated
258,swale,big,no,s,1,11,6.666666667,1,,,,0.028049934,0.142857143,0,dessicated
259,swale,big,no,s,1,50,28.28571429,0,,,,0.649355982,0.114285714,0,dessicated
260,steep,small,s,s,1,78,46,1,,,,-2.145819982,0.071428571,0,gone
261,steep,small,s,s,1,97,65.42857143,0,,,,0.515714874,0.128571429,0,gone
262,steep,small,s,s,1,97,65,0,,,,0.107305024,0.071428571,0,dessicated
263,steep,small,s,s,1,78,46,0,,,,2.692793703,0.071428571,0,gone
264,steep,small,s,s,1,78,46,0,,,,-0.052593627,0.142857143,0,gone
265,steep,none,s,s,1,20,15.66666667,0,,,,0.196349541,0.214285714,0,dessicated
266,steep,none,s,s,1,73,35,2,,,,0.267932973,0.107142857,0,dessicated
267,steep,none,s,s,1,20,15.66666667,0,,,,0.95369777,0.214285714,0,gone
268,steep,none,s,s,1,73,35,3,,,,0.361142905,0.089285714,0,dessicated
269,steep,none,s,s,1,20,15.66666667,0,,,,0.224399475,0.142857143,0,dessicated
270,steep,none,s,s,1,20,15.66666667,0,,,,0.09817477,0.142857143,0,dessicated
271,steep,none,s,s,1,20,15.66666667,0,,,,0.308549278,0.142857143,0,dessicated
272,steep,none,s,s,1,20,15.66666667,0,,,,0.673198426,0.142857143,0,gone
273,steep,none,s,s,1,20,15.66666667,0,,,,0.308549278,0.142857143,0,dessicated
274,steep,none,s,s,1,20,13.5,0,,,,0,0,0,gone
275,steep,none,s,s,1,20,15.66666667,2,,,,-0.026296814,0.142857143,0,dessicated
276,steep,none,s,s,1,20,15.66666667,0,,,,0.70124836,0.142857143,0,gone
277,steep,none,s,s,1,20,15.66666667,0,,,,0.028049934,0.142857143,0,gone
278,steep,big,s,s,1,1,1,0,,,,0.09817477,0.142857143,0,dessicated
279,steep,big,s,s,1,42,24.57142857,0,,,,1.307990881,0.128571429,0,dessicated
280,steep,big,s,s,1,42,24.83333333,0,,,,0.278746223,0.107142857,0,dessicated
281,steep,big,s,s,1,42,24.83333333,0,,,,0.972322926,0.142857143,0,dessicated
282,steep,big,s,s,1,40,16.75,2,,,,0.000467499,0.023809524,0,GONE
283,steep,big,s,s,1,42,24.57142857,0,,,,0.070573635,0.057142857,0,dessicated
284,steep,small,s,s,1,64,37.25,0,,,,-0.017823396,0.047619048,0,Dessicated
285,steep,small,s,s,1,64,39.14285714,0,,,,0.357917163,0.128571429,0,dessicated
286,steep,small,s,s,1,64,39.14285714,0,,,,0.207659274,0.1,0,dessicated
287,steep,small,s,s,1,40,25,0,,,,0,0,0,gone
288,steep,small,s,s,1,64,37.25,0,,,,3.271996799,0.142857143,0,GONE
289,steep,small,s,s,1,40,28.33333333,0,,,,-0.028049934,0.071428571,0,dessicated
290,steep,small,s,s,1,2,1.166666667,1,,,,0.07713732,0.142857143,0,dessicated
291,steep,small,s,s,1,5,2.125,0,,,,0.080643561,0.071428571,9,Dessicated
292,steep,small,s,s,1,1,0.75,0,,,,0,0,0,gone
293,steep,small,s,s,1,2,1.166666667,1,,,,0.056099869,0.142857143,0,dessicated
294,steep,small,s,s,1,78,46,0,,,,0.981747704,0.214285714,0,gone
295,steep,big,s,us,1,48,31,0,,,,0.788904405,0.107142857,0,gone
296,steep,big,s,s,1,48,36.33333333,0,,,,0.224399475,0.142857143,0,dessicated
297,steep,big,s,s,1,48,36.33333333,0,,,,0.280499344,0.142857143,0,dessicated
298,steep,big,s,s,1,48,31,0,,,,0.210374508,0.071428571,0,gone
299,steep,big,s,s,1,48,27.375,0,,,,1.791118777,0.209302326,0,complete
300,steep,big,s,s,1,48,33,0,,,,0,0,0,dessicated
301,steep,none,s,s,1,35,28.33333333,3,,,,0.063112352,0.142857143,0,dessicated
302,steep,none,s,s,1,35,28.33333333,3,,,,0.042074902,0.071428571,0,dessicated
303,steep,none,s,s,1,35,30,3,,,,0,0,0,gone
304,steep,small,s,s,1,27,19.66666667,0,,,,0.028049934,0.071428571,0,dessicated
305,steep,small,s,us,1,27,19.66666667,2,,,,0.210374508,0.142857143,0,dessicated
306,steep,small,s,s,1,27,17,0,,,,-0.016829961,0.071428571,0,dessicated
307,steep,small,s,s,1,64,44,0,,,,0.291831518,0.142857143,0,dessicated
308,steep,big,s,s,1,40,21.33333333,0,,,,0,0,0,GONE
309,steep,big,s,s,1,1,1,1,,,,0,0,0,dessicated
310,steep,big,s,s,1,1,1,0,,,,0,0,0,gone
311,steep,none,s,s,1,20,20,0,,,,0,0,0,dessicated
312,steep,none,s,s,1,20,20,0,,,,0,0,0,dessicated
313,swale,small,no,s,1,50,25,0,,,,-0.003067962,0.035714286,0,GONE
314,swale,small,no,s,1,55,44,0,,,,0,0,0,dessicated
315,steep,big,s,s,1,78,61.5,0,,,,0,0,0,gone
316,steep,big,s,s,1,78,66,0,,,,0.138496551,0.142857143,0,dessicated
317,steep,big,s,s,1,78,61.5,0,,,,0,0,0,gone
318,swale,small,no,s,1,99,57,0,,,,1.505776579,0.142857143,0,GONE
319,swale,small,no,s,1,99,65.875,1,,,,9.22353548,0.103448276,7,complete
320,swale,big,no,s,1,100,85.16666667,0,,,,5.393357238,0.178571429,0,dessicated
321,swale,big,no,s,1,100,86.57142857,0,,,,17.38792994,0.305555556,0,dessicated
322,swale,small,no,s,1,30,25,0,,,,0,0,0,dessicated
323,swale,small,no,s,2,17,9.666666667,1,,,,-0.044879895,0.071428571,0,dessicated
324,swale,none,no,s,2,13,5.333333333,3,,,,11.34339347,0.357142857,0,herbivory
325,steep,none,n,s,1,90,85,0,,,,0,0,0,gone
326,steep,big,n,s,1,83,59.875,0,,,,7.484955377,0.223529412,32,complete
327,steep,big,n,s,1,76,56.57142857,1,,,,4.827552021,0.178082192,8,complete
328,steep,small,n,s,1,97,82.5,0,,,,-0.187223962,0.047619048,0,GONE
329,steep,big,s,s,1,42,34,0,,,,0.096772274,0.023809524,0,dessicated
330,swale,small,no,s,1,50,34.75,0,,,,0.198369136,0.071428571,0,dessicated
331,swale,small,no,s,1,95,58.25,1,,,,0.028517433,0,0,GONE
332,swale,small,no,us,1,77,45.5,1,,,,0.174807191,0.047619048,0,GONE
333,road,none,no,us,2,12,10.66667,0,,,,-0.126112505,-0.071428571,0,gone
334,steep,small,n,s,1,89.5,95,2,,,,0,0,0,dessicated
335,steep,small,n,s,1,89.66666667,95,0,,,,-1.305443947,-0.142857143,0,gone
336,steep,none,n,s,1,85.85714286,92,3,,,,1.802134803,0.14084507,0,dessicated
337,steep,small,n,s,1,10,10,0,,,,0,0,0,gone
338,steep,small,s,s,1,47.25,64,0,,,,1.457474592,0.178571429,0,dessicated
339,swale,big,no,s,1,97.5,100,0,,,,0.07711182,0,0,dessicated
340,swale,big,no,s,1,71.4,80,5,,,,54.18455273,0.694915254,0,gone
341,steep,none,n,s,1,8.666666667,13,0,,,,-0.740518268,0.071428571,0,gone
342,steep,none,n,s,1,95.33333333,98,0,,,,1.458746189,-0.2,0,dessicated
343,steep,none,n,s,1,85.66666667,92,0,,,,0.128236562,0.051724138,0,dessicated
344,gentle,small,s,ng,2,40,18.444,0,,,,0,0,0,na
345,gentle,big,s,ng,2,99,52.222222,0,,,,0,0,0,na
346,gentle,none,s,ng,2,26,10.777778,0,,,,0,0,0,na
347,swale,none,no,ng,2,30,14.5,0,,,,0,0,0,na
348,swale,none,no,ng,2,37,13.66666667,0,,,,0,0,0,na
349,road,big,no,ng,2,17,7.7777778,0,,,,0,0,0,na
350,steep,small,s,ng,2,38,17.44444444,0,,,,0,0,0,na
351,steep,big,s,ng,2,65,30,0,,,,0,0,0,na
352,steep,none,s,ng,2,31,13.22222222,0,,,,0,0,0,na
353,steep,none,s,ng,2,31,15.77777778,0,,,,0,0,0,na
